_id,MES_REFERENCIA,CLASSE_AGENTE,CONSUMO,CONSUMO_PONTO_CONEXAO_CLASSE_ACR,CONSUMO_PONTO_CONEXAO_CLASSE_ACL
1,202603,Consumidor Especial,3822.923446318548,0.32645889592,3709.403156495209
2,202603,Exportador,11.814682869624,0,11.434525537634
3,202603,Varejista,2616.173067692204,0,2538.629737063172
4,202603,Distribuidor,44329.831986310484,43199.2118777621,0
5,202603,Autoprodutor,2601.996618740591,0.040000597225,2532.521966503581
6,202603,Consumidor Livre,23050.20155522043,0.265433294684,22376.155759873327
7,202602,Consumidor Especial,3781.267848986607,0.308516199128,3673.915711986884
8,202602,Autoprodutor,2537.43981216369,0.040000727994,2472.691134077066
9,202602,Distribuidor,44760.00469370982,43691.41884685268,0
10,202602,Exportador,171.371138855655,0,166.503581845238
11,202602,Varejista,2579.663951852679,0,2506.47643808631
12,202602,Consumidor Livre,23041.708768934524,0.270836395691,22399.5604626802
13,202601,Consumidor Especial,3595.545534721774,0.284693386663,3498.047223419789
14,202601,Autoprodutor,2428.915588763441,0.040000633659,2369.815670069298
15,202601,Exportador,150.672715877688,0,146.174442801075
16,202601,Distribuidor,43432.25378981452,42445.68680166801,0
17,202601,Comercializador,2376.255279556452,0,2311.566545182796
18,202601,Consumidor Livre,21948.60312231586,0.265432374966,21365.231967095464
