codigo_ibge,distribuidora
4218004,CELESC DIST
4105805,COPEL DISTRIB
3513405,BANDEIRANTE
3105905,CEMIG DISTRIB
3113206,CEMIG DISTRIB
3529005,CPFL PAULISTA
4307906,RGE SUL
3526803,CTEEP
2801504,ENERGISA SE
3507001,CPFL PIRATINGA
4119103,COPEL DISTRIB
5220454,CELG
4313409,RGE SUL
5106224,ENERGISA MT
3529302,CPFL PAULISTA
4115606,COPEL DISTRIB
5105903,ENERGISA MT
1500800,CELPA
2933307,COELBA
4307708,RGE SUL
4103453,COPEL DISTRIB
2616407,CELPE
4204806,CELESC DIST
4215455,CELESC DIST
4211306,CELESC DIST
3157807,CEMIG DISTRIB
4216602,CELESC DIST
3522604,CPFL PAULISTA
4202701,CELESC DIST
3133808,CEMIG DISTRIB
3534302,CPFL PAULISTA
3300456,LIGHT
4322608,RGE SUL
4211751,CELESC DIST
3302254,AMPLA
3130101,CEMIG DISTRIB
4115804,COPEL DISTRIB
2806107,AXIA NORDESTE
3527207,BANDEIRANTE
5211503,CELG
3516200,CPFL PAULISTA
2301000,COELCE
3539806,BANDEIRANTE
3551702,CPFL PAULISTA
2500601,TAESA-SANT
4108304,COPEL DISTRIB
3503901,ELEKTRO
3304003,LIGHT
2610707,CELPE
4204558,CELESC DIST
2919553,COELBA
3306008,LIGHT
3304110,AMPLA
2904605,COELBA
3526407,ELEKTRO
2906006,COELBA
3556503,CPFL PIRATINGA
4303103,RGE SUL
2503001,ENERGISA PB
4215802,CELESC DIST
5217401,CELG
3554508,ELEKTRO
4205902,CELESC DIST
4323002,CEEE DISTRIB
2611101,CELPE
4103701,COPEL DISTRIB
3505500,CPFL PAULISTA
4118501,COPEL DISTRIB
4101408,COPEL DISTRIB
2100055,AXIA NORTE
4119152,COPEL DISTRIB
4100202,COPEL DISTRIB
4128203,COPEL DISTRIB
4108403,COPEL DISTRIB
3526704,ELEKTRO
5101407,EBTE 2
4308607,RGE SUL
2702355,AXIA NORDESTE
3507605,ENERGISA SS
4322509,RGE SUL
4206504,CELESC DIST
2304285,COELCE
3134905,CEMIG DISTRIB
3127701,CEMIG DISTRIB
2511905,TAESA-SANT
3136652,CEMIG DISTRIB
5205455,CELG
4316907,RGE SUL
3502101,ELEKTRO
4205506,CELESC DIST
3157203,CEMIG GERACAO
3556453,ELETROPAULO
4311809,RGE SUL
4104659,COPEL DISTRIB
3510609,ELETROPAULO
3170701,CEMIG DISTRIB
4105508,COPEL DISTRIB
4125605,COPEL GET
5107909,ENERGISA MT
1508084,CELPA
3101607,CEMIG DISTRIB
2604106,CELPE
3303906,AMPLA
4128005,COPEL DISTRIB
5210406,CELG
5206404,CELG
2928000,COELBA
3154507,CEMIG DISTRIB
4213203,CELESC DIST
2311504,AXIA NORDESTE
2513703,ENERGISA PB
3531308,CPFL PAULISTA
4211702,CELESC DIST
1502400,CELPA
5107925,ENERGISA MT
4117602,COPEL DISTRIB
3305109,LIGHT
4211900,CELESC DIST
3149804,CEMIG DISTRIB
1100114,ENERGISA RO
3305000,AMPLA
3300407,LIGHT
3512803,CPFL PAULISTA
2922300,COELBA
2600054,CELPE
3525300,CPFL PAULISTA
4214805,CELESC DIST
3518305,BANDEIRANTE
3106309,CEMIG DISTRIB
4219176,CELESC DIST
3169307,CEMIG DISTRIB
4219705,DCELT
3304706,AMPLA
3541000,CPFL PIRATINGA
2921005,COELBA
4111902,COPEL DISTRIB
1506104,CELPA
3148004,CEMIG DISTRIB
2708600,CEAL
3511508,ELEKTRO
3301009,AMPLA
2104305,CEMAR
3549706,CPFL JAGUARI
4301008,RGE SUL
3515707,BANDEIRANTE
3133006,CEMIG DISTRIB
3146503,CEMIG DISTRIB
4218202,CELESC DIST
2913606,COELBA
5212808,CELG
5213103,CELG
4102000,COPEL DISTRIB
3541604,CERPRO
3550605,CPFL PIRATINGA
3525003,ELETROPAULO
3502200,ELEKTRO
3103504,CEMIG DISTRIB
2914802,COELBA
3536703,CPFL PAULISTA
5003207,ENERGISA MS
3551009,CPFL PIRATINGA
4114203,COPEL DISTRIB
1702109,ENERGISA TO
4120804,COPEL DISTRIB
5211909,TER
3537107,CPFL JAGUARI
4107207,COPEL DISTRIB
2920502,COELBA
3162955,CEMIG DISTRIB
3131901,CEMIG DISTRIB
4219200,CELESC DIST
3506102,CPFL PAULISTA
4213609,COPEL DISTRIB
3547601,CPFL PAULISTA
3525201,ELEKTRO
4203600,CELESC DIST
4206306,CELESC DIST
4119400,COPEL DISTRIB
3511102,ENERGISA SS
5100300,ENERGISA MT
2403103,COSERN
2929503,COELBA
3510401,CPFL PAULISTA
5212501,CELG
5107958,ENERGISA MT
3515152,ELEKTRO
4109807,COPEL DISTRIB
4303509,CEEE DISTRIB
4203808,CELESC DIST
3160108,CEMIG DISTRIB
4203907,CELESC DIST
3205101,ESCELSA
2919207,COELBA
2400703,COSERN
3118304,CEMIG DISTRIB
3165537,CEMIG DISTRIB
3533908,CPFL PAULISTA
4308201,RGE SUL
2307304,COELCE
3541703,ENERGISA SS
3301850,AMPLA
4217204,CELESC DIST
4113205,COPEL DISTRIB
3546405,CPFL JAGUARI
3522208,ELETROPAULO
5106752,ENERGISA MT
3169901,ENERGISA MR
5215702,CELG
2110302,AXIA NORTE
4218509,CELESC DIST
3531803,CPFL PAULISTA
5002159,ENERGISA MS
4128104,COPEL DISTRIB
3543303,ELETROPAULO
2804805,ENERGISA SE
2928604,COELBA
2609600,CELPE
4202107,CELESC DIST
4206652,CELESC DIST
3134202,CEMIG DISTRIB
4212908,CELESC DIST
3540606,CPFL PIRATINGA
4215000,CELESC DIST
3544004,CPFL PAULISTA
4106407,COPEL DISTRIB
5102678,ENERGISA MT
3505302,CPFL PAULISTA
5005707,ENERGISA MS
3557105,ELEKTRO
2105302,AXIA NORTE
2805703,ENERGISA SE
2918407,COELBA
2312403,AXIA NORDESTE
3300100,AMPLA
4208401,CELESC DIST
1506807,CELPA
4217907,CELESC DIST
3528007,CPFL PAULISTA
4210506,CELESC DIST
