uf;municipio;nome_municipio;total_empresas;tier1;tier2;demanda_total_MW
SP;7107;SAO PAULO;1330369;92772;588899;501711
RJ;6001;RIO DE JANEIRO;508601;41059;234292;192940
MG;4123;BELO HORIZONTE;255818;19207;120714;96860
DF;9701;BRASILIA;245077;17354;105965;90361
PR;7535;CURITIBA;236137;17417;113135;88925
CE;1389;FORTALEZA;186185;13087;77768;68773
BA;3849;SALVADOR;185115;12532;81883;65816
GO;9373;GOIANIA;167678;12994;77457;61664
RS;8801;PORTO ALEGRE;138173;9957;63815;52542
AM;0255;MANAUS;126685;9702;50646;46363
SP;6291;CAMPINAS;116778;8768;54524;43148
SP;6477;GUARULHOS;118923;10075;59955;41955
PE;2531;RECIFE;111463;8380;48222;41876
MS;9051;CAMPO GRANDE;81770;6528;39316;29106
SP;6969;RIBEIRAO PRETO;79506;5214;38506;28941
SC;8105;FLORIANOPOLIS;71037;5143;30868;27765
MG;5403;UBERLANDIA;77235;6291;38942;27475
MT;9067;CUIABA;68881;5825;33351;26695
PA;0427;BELEM;73377;5464;29250;26436
SP;7145;SOROCABA;72178;6390;34313;26004
MA;0921;SAO LUIS;69723;4211;29319;25417
PB;2051;JOAO PESSOA;69337;5006;32168;25339
SP;7075;SAO BERNARDO DO CAMPO;68991;5661;31522;25042
SC;8179;JOINVILLE;68780;6737;35966;24686
SP;7057;SANTO ANDRE;64585;5635;28236;23880
AL;2785;MACEIO;63484;5097;26647;22959
SP;7099;SAO JOSE DOS CAMPOS;64208;4947;30358;22951
PI;1219;TERESINA;59790;4382;25155;22417
PR;7667;LONDRINA;59129;4846;28402;21762
RN;1761;NATAL;59021;4217;25076;21730
MG;4371;CONTAGEM;60868;5900;30272;21446
PR;7691;MARINGA;56477;4531;27557;21053
RJ;5833;DUQUE DE CAXIAS;59705;6070;28682;21051
SP;6789;OSASCO;58388;4012;28603;20267
RJ;5865;NITEROI;50434;3291;24147;20101
SP;7097;SAO JOSE DO RIO PRETO;54622;4175;26061;19772
RS;8599;CAXIAS DO SUL;50531;7507;24827;19521
RJ;5897;SAO GONCALO;52643;5192;25239;18158
BA;3515;FEIRA DE SANTANA;50411;3991;21073;18114
ES;5703;VILA VELHA;49880;4620;23047;17952
ES;5699;SERRA;50238;4931;24952;17651
SP;6619;JUNDIAI;46874;3600;20627;17096
RJ;5869;NOVA IGUACU;50278;4469;23274;17087
MG;4733;JUIZ DE FORA;47170;4188;22724;16973
GO;9227;APARECIDA DE GOIANIA;47463;4846;23189;16625
SE;3105;ARACAJU;45647;3040;20225;16496
SP;6425;FRANCA;46338;2820;18444;16240
SC;8047;BLUMENAU;44109;4279;24705;16075
SP;7071;SANTOS;41388;2673;18379;15769
SP;6213;BARUERI;40719;3283;17884;15736
ES;5705;VITORIA;37984;2533;18073;15118
SC;8161;ITAJAI;39059;3029;22640;14411
PR;7493;CASCAVEL;38763;3148;21163;14301
SP;6713;MOGI DAS CRUZES;38482;3002;17355;13906
SP;6219;BAURU;37232;3049;17770;13261
SP;6875;PIRACICABA;36224;3518;16777;13074
GO;9221;ANAPOLIS;35941;3468;16194;12953
PR;7885;SAO JOSE DOS PINHAIS;35037;3615;19323;12601
MG;4133;BETIM;35943;3598;18511;12487
MG;4865;MONTES CLAROS;33925;2464;16098;12363
PR;7777;PONTA GROSSA;35118;2665;18682;12329
PE;2457;JABOATAO DOS GUARARAPES;35267;3220;15810;12259
PE;2381;CARUARU;30560;2450;14573;11608
TO;9733;PALMAS;31954;2664;16114;11482
RO;0003;PORTO VELHO;29832;2407;12200;11120
BA;3965;VITORIA DA CONQUISTA;30712;2646;13302;11073
SP;6639;LIMEIRA;29926;3313;13744;11046
SP;6377;DIADEMA;29734;3701;13254;11007
RS;8589;CANOAS;31534;2506;14900;10974
RJ;5819;CAMPOS DOS GOYTACAZES;30274;2413;12379;10918
PR;7563;FOZ DO IGUACU;31336;1812;15562;10724
ES;5625;CARIACICA;31235;2834;16070;10690
PB;1981;CAMPINA GRANDE;29050;2352;12068;10690
SP;6921;PRAIA GRANDE;32321;2383;14760;10680
SC;8081;CHAPECO;28604;2434;16410;10408
SC;8327;SAO JOSE;29399;2429;14639;10270
RS;8771;NOVO HAMBURGO;26374;2818;13017;9960
RS;8791;PELOTAS;27746;2541;13489;9947
MG;5401;UBERABA;27321;2266;13322;9825
MG;4445;DIVINOPOLIS;26822;2634;13313;9790
RJ;5877;PETROPOLIS;27731;2728;12724;9707
PA;0415;ANANINDEUA;27551;2244;11856;9599
SP;6689;MAUA;26793;2723;12358;9492
SP;6511;INDAIATUBA;25446;2532;11745;9333
SP;6131;AMERICANA;25273;2487;11774;9325
SP;6361;COTIA;25958;2236;12483;9190
SP;6563;ITAQUAQUECETUBA;25879;2650;12529;9142
PE;2521;PETROLINA;25489;1971;11132;9134
SP;6313;CARAPICUIBA;27772;1991;14474;9134
SP;7183;TAUBATE;25201;2218;11284;9026
SC;8233;PALHOCA;26250;2291;14300;9016
SP;7151;SUZANO;26083;2075;11851;8918
SP;7079;SAO CARLOS;24617;2289;10556;8916
RR;0301;BOA VISTA;24012;1903;9275;8722
SP;7121;SAO VICENTE;26193;1967;10051;8639
BA;3685;LAURO DE FREITAS;23623;1904;11032;8608
MT;9167;VARZEA GRANDE;24098;2451;11511;8577
RJ;5901;SAO JOAO DE MERITI;25080;2276;12125;8565
SP;7149;SUMARE;24460;2420;12946;8498
SC;8089;CRICIUMA;22416;2361;11451;8453
SP;6681;MARILIA;23599;1914;11164;8435
RS;8683;GRAVATAI;24216;2386;11950;8432
SP;6929;PRESIDENTE PRUDENTE;22743;1618;10766;8394
AP;0605;MACAPA;22362;1881;8013;8359
SP;6475;GUARUJA;24962;1817;10496;8341
MT;9151;RONDONOPOLIS;23584;2036;12696;8332
RS;8785;PASSO FUNDO;22770;1954;11418;8272
MG;4553;GOVERNADOR VALADARES;23048;1998;10610;8159
RS;8841;SANTA MARIA;22402;1918;10627;7968
RJ;2909;BELFORD ROXO;23283;2185;11418;7766
PR;7513;COLOMBO;21899;2442;12025;7736
MS;9073;DOURADOS;21625;1699;10754;7688
SP;7077;SAO CAETANO DO SUL;19233;1619;7873;7687
SP;6163;ARARAQUARA;21109;1899;9862;7649
SC;8175;JARAGUA DO SUL;20954;2338;11975;7587
BA;3413;CAMACARI;21375;1977;8566;7580
SP;2951;HORTOLANDIA;21910;2042;11198;7479
MT;8985;SINOP;20498;2152;10898;7475
MA;0803;IMPERATRIZ;20396;1507;8218;7475
PE;2491;OLINDA;20607;1727;8881;7455
SP;7157;TABOAO DA SERRA;21452;1810;10109;7444
GO;9571;RIO VERDE;21044;1566;11132;7435
MG;4625;IPATINGA;20730;1676;9909;7412
SC;8039;BALNEARIO CAMBORIU;21411;1073;10751;7409
EX;9707;EXTERIOR;10442;3626;4983;7218
RJ;5867;NOVA FRIBURGO;20941;1710;9275;7214
SP;6155;ARACATUBA;19219;1508;9118;7134
ES;5623;CACHOEIRO DE ITAPEMIRIM;17443;2562;7616;7095
MG;5091;RIBEIRAO DAS NEVES;22146;1845;11908;7072
RJ;5813;CABO FRIO;20368;1591;8476;7048
CE;1585;MARACANAU;13552;1843;5205;7033
AC;0139;RIO BRANCO;19058;1460;6429;7000
RS;8877;SAO LEOPOLDO;19425;1927;9153;6968
RJ;5853;MARICA;20406;2062;9637;6878
MG;5343;SETE LAGOAS;19003;1863;9178;6812
RJ;5925;VOLTA REDONDA;18736;1421;7771;6732
PA;0535;SANTAREM;18539;1388;6878;6701
RJ;5847;MACAE;18252;1627;7767;6689
RN;1759;MOSSORO;17622;1669;7157;6682
SC;8055;BRUSQUE;17932;2018;9802;6528
SP;6251;BRAGANCA PAULISTA;17875;1721;8275;6526
SP;6589;JACAREI;18667;1468;8853;6513
SP;6181;ATIBAIA;17645;1641;7909;6415
CE;1447;JUAZEIRO DO NORTE;17320;1275;6456;6364
RN;1779;PARNAMIRIM;17727;1524;7430;6309
PE;2513;PAULISTA;18295;1643;7585;6289
CE;1373;CAUCAIA;17069;1751;6848;6209
SP;7047;SANTANA DE PARNAIBA;16036;1572;7301;6191
SP;6401;EMBU DAS ARTES;17999;1400;9357;6044
SP;6979;RIO CLARO;16391;1714;7317;5974
MG;5035;POCOS DE CALDAS;16334;1752;8181;5932
PR;5453;PINHAIS;15679;1969;7916;5875
PR;7583;GUARAPUAVA;16011;1409;8257;5828
MG;4959;PATOS DE MINAS;15791;1454;8188;5821
PR;7927;TOLEDO;15920;1619;8071;5777
SP;7017;SANTA BARBARA D'OESTE;15366;1919;7063;5646
PA;0483;MARABA;15248;1252;6497;5635
PA;0595;PARAUAPEBAS;15537;1134;6287;5540
BA;3597;ITABUNA;15293;1082;6389;5498
ES;5663;LINHARES;14795;1594;7046;5460
MG;5049;POUSO ALEGRE;14736;1218;7759;5398
RS;8541;BENTO GONCALVES;14383;1799;7533;5392
SP;6551;ITAPEVI;15677;1336;8197;5282
SC;8183;LAGES;14361;1346;7500;5258
RS;8963;VIAMAO;15640;1447;7902;5234
TO;9241;ARAGUAINA;14395;1147;7139;5220
RS;8561;CACHOEIRINHA;14676;1336;7716;5188
RS;8815;RIO GRANDE;14347;1163;6009;5164
PR;7435;ARAUCARIA;14168;1548;7644;5154
SP;6579;ITU;14264;1441;6410;5111
MG;5155;SANTA LUZIA;15302;1398;7699;5100
AL;2705;ARAPIRACA;13980;1085;5401;5068
RJ;5915;TERESOPOLIS;14485;1240;6849;5042
RJ;5849;MAGE;14677;1423;6279;5009
BA;3807;PORTO SEGURO;14764;1070;6459;4952
PR;9983;FAZENDA RIO GRANDE;14759;1260;8960;4912
MG;4903;NOVA SERRANA;13893;686;6510;4898
MG;5413;VARGINHA;13330;1263;6680;4856
PR;7425;APUCARANA;13475;1238;7414;4838
PR;7427;ARAPONGAS;13307;1194;6247;4829
GO;9445;LUZIANIA;13456;1202;6546;4800
SP;7225;VALINHOS;12690;1341;6010;4750
SP;6229;BIRIGUI;12964;1126;5718;4742
RS;8637;ERECHIM;12847;1365;6559;4736
SC;8367;TUBARAO;12455;1321;6253;4654
RS;8511;ALVORADA;14319;1183;7636;4635
RJ;5837;ITABORAI;13120;1408;6326;4629
BA;3669;JUAZEIRO;12385;937;4818;4626
MT;9907;SORRISO;12529;1141;7155;4594
