uf;municipio;nome_municipio;total_empresas;tier1;tier2;demanda_total_MW
BA;1112;LUIS EDUARDO MAGALHAES;12633;1254;6810;4570
ES;5647;GUARAPARI;13184;1159;5796;4516
SP;7135;SERTAOZINHO;11974;1583;5395;4507
MG;4895;NOVA LIMA;10326;1110;4631;4499
PR;7935;UMUARAMA;12323;940;6186;4495
RS;8839;SANTA CRUZ DO SUL;12513;1029;6084;4494
SP;6249;BOTUCATU;12621;1057;5497;4492
RJ;5801;ANGRA DOS REIS;12705;951;5764;4468
ES;5629;COLATINA;11843;1169;5907;4395
BA;3363;BARREIRAS;11639;988;5049;4376
GO;9753;SENADOR CANEDO;12762;1155;6731;4371
